+-----+------------+----------+----+----+----+----+----+----+----+----+----+----+----+
| t1  |     d1     |    z1    | s1 | s2 | s3 | s4 | s5 | s6 | s7 | "" | z2 | b1 | b2 |
| 65  | 2014/7/4   | 5374703  | 4  | 7  | 12 | 22 | 23 | 24 | 28 |    | I  | 25 | 34 |
| 303 | 2019/2/8   | 5390592  | 4  | 7  | 14 | 17 | 21 | 34 | 37 |    | A  | 10 | 30 |
| 300 | 2019/1/18  | 5425257  | 4  | 7  | 21 | 31 | 33 | 34 | 35 |    | I  | 6  | 12 |
| 23  | 2013/9/6   | 5482010  | 4  | 8  | 11 | 25 | 28 | 29 | 30 |    | F  | 14 | 32 |
| 415 | 2021/4/16  | 5484274  | 4  | 8  | 12 | 13 | 23 | 32 | 37 |    | J  | 16 | 35 |
| 260 | 2018/4/13  | 5494199  | 4  | 8  | 12 | 23 | 29 | 31 | 34 |    | G  | 5  | 6  |
| 404 | 2021/1/29  | 5499669  | 4  | 8  | 13 | 16 | 25 | 30 | 32 |    | F  | 9  | 26 |
| 63  | 2014/6/20  | 5539011  | 4  | 8  | 19 | 24 | 28 | 30 | 32 |    | H  | 12 | 37 |
| 381 | 2020/8/14  | 5547142  | 4  | 8  | 25 | 26 | 27 | 31 | 32 |    | B  | 9  | 22 |
| 280 | 2018/8/31  | 5550706  | 4  | 9  | 10 | 11 | 24 | 32 | 35 |    | C  | 2  | 37 |
| 179 | 2016/9/23  | 5582417  | 4  | 9  | 12 | 13 | 22 | 26 | 36 |    | C  | 5  | 33 |
| 75  | 2014/9/12  | 5614688  | 4  | 9  | 15 | 17 | 19 | 35 | 37 |    | G  | 10 | 20 |
| 156 | 2016/4/15  | 5622811  | 4  | 9  | 16 | 19 | 22 | 33 | 34 |    | E  | 17 | 36 |
| 134 | 2015/11/6  | 5640330  | 4  | 9  | 20 | 28 | 30 | 34 | 35 |    | H  | 12 | 29 |
| 349 | 2019/12/27 | 5653242  | 4  | 10 | 11 | 15 | 18 | 22 | 34 |    | A  | 16 | 32 |
| 62  | 2014/6/13  | 5666835  | 4  | 10 | 12 | 15 | 27 | 32 | 33 |    | D  | 9  | 16 |
| 126 | 2015/9/11  | 5677655  | 4  | 10 | 13 | 16 | 17 | 21 | 27 |    | D  | 1  | 18 |
| 146 | 2016/2/5   | 5726319  | 4  | 10 | 25 | 27 | 28 | 33 | 34 |    | F  | 15 | 35 |
| 411 | 2021/3/19  | 5737834  | 4  | 11 | 12 | 21 | 23 | 27 | 36 |    | G  | 9  | 14 |
| 301 | 2019/1/25  | 5739424  | 4  | 11 | 12 | 25 | 27 | 30 | 33 |    | E  | 5  | 19 |
| 341 | 2019/11/1  | 5777408  | 4  | 11 | 17 | 27 | 29 | 31 | 36 |    | J  | 19 | 24 |
| 397 | 2020/12/4  | 5795909  | 4  | 12 | 13 | 15 | 21 | 28 | 37 |    | I  | 7  | 20 |
| 55  | 2014/4/25  | 5807444  | 4  | 12 | 14 | 17 | 23 | 30 | 36 |    | C  | 13 | 33 |
| 385 | 2020/9/11  | 5811899  | 4  | 12 | 14 | 24 | 29 | 34 | 35 |    | I  | 5  | 15 |
| 110 | 2015/5/22  | 5843264  | 4  | 12 | 22 | 30 | 31 | 35 | 36 |    | H  | 19 | 37 |
| 208 | 2017/4/14  | 5864089  | 4  | 13 | 16 | 18 | 22 | 26 | 33 |    | H  | 27 | 29 |
| 438 | 2021/9/24  | 5866646  | 4  | 13 | 16 | 21 | 32 | 34 | 37 |    | F  | 27 | 33 |
| 76  | 2014/9/19  | 5877116  | 4  | 13 | 18 | 29 | 32 | 34 | 36 |    | E  | 24 | 33 |
| 261 | 2018/4/20  | 5890636  | 4  | 14 | 15 | 17 | 21 | 23 | 26 |    | F  | 7  | 8  |
| 325 | 2019/7/12  | 5902518  | 4  | 14 | 17 | 18 | 21 | 31 | 33 |    | J  | 6  | 20 |
| 38  | 2013/12/20 | 5912227  | 4  | 14 | 19 | 22 | 24 | 29 | 34 |    | D  | 8  | 31 |
| 64  | 2014/6/27  | 5922908  | 4  | 15 | 16 | 17 | 20 | 29 | 36 |    | G  | 19 | 26 |
| 231 | 2017/9/22  | 5936244  | 4  | 15 | 18 | 24 | 25 | 34 | 36 |    | D  | 10 | 26 |
| 356 | 2020/2/21  | 5962929  | 4  | 16 | 20 | 30 | 33 | 34 | 36 |    | C  | 19 | 21 |
| 400 | 2020/12/25 | 5981483  | 4  | 17 | 22 | 28 | 30 | 31 | 35 |    | B  | 25 | 34 |
| 445 | 2021/11/12 | 6017308  | 4  | 22 | 25 | 27 | 28 | 30 | 33 |    | D  | 2  | 3  |
| 56  | 2014/5/2   | 6019654  | 4  | 23 | 26 | 27 | 28 | 32 | 36 |    | A  | 29 | 30 |
| 16  | 2013/7/19  | 6082965  | 5  | 6  | 9  | 13 | 16 | 21 | 23 |    | D  | 8  | 34 |
| 460 | 2022/3/4   | 6093891  | 5  | 6  | 9  | 23 | 27 | 28 | 30 |    | A  | 4  | 13 |
| 36  | 2013/12/6  | 6096938  | 5  | 6  | 10 | 11 | 20 | 28 | 36 |    | E  | 25 | 37 |
| 78  | 2014/10/3  | 6103427  | 5  | 6  | 10 | 14 | 24 | 28 | 36 |    | C  | 7  | 20 |
| 308 | 2019/3/15  | 6119546  | 5  | 6  | 11 | 15 | 20 | 32 | 33 |    | A  | 13 | 25 |
| 57  | 2014/5/9   | 6132940  | 5  | 6  | 12 | 16 | 17 | 20 | 33 |    | J  | 8  | 32 |
| 424 | 2021/6/18  | 6136902  | 5  | 6  | 12 | 19 | 25 | 30 | 35 |    | F  | 26 | 33 |
| 259 | 2018/4/6   | 6163453  | 5  | 6  | 15 | 19 | 22 | 29 | 32 |    | I  | 4  | 31 |
| 320 | 2019/6/7   | 6180168  | 5  | 6  | 18 | 22 | 26 | 33 | 34 |    | E  | 36 | 37 |
| 436 | 2021/9/10  | 6187417  | 5  | 6  | 21 | 22 | 26 | 31 | 32 |    | A  | 18 | 36 |
| 337 | 2019/10/4  | 6240610  | 5  | 7  | 10 | 12 | 14 | 24 | 35 |    | I  | 11 | 33 |
| 332 | 2019/8/30  | 6247458  | 5  | 7  | 10 | 15 | 24 | 27 | 30 |    | E  | 3  | 33 |
| 331 | 2019/8/23  | 6255683  | 5  | 7  | 11 | 12 | 15 | 18 | 20 |    | G  | 19 | 30 |
| 129 | 2015/10/2  | 6266663  | 5  | 7  | 11 | 19 | 24 | 27 | 30 |    | G  | 29 | 35 |
| 466 | 2022/4/15  | 6064111  | 5  | 8  | 6  | 15 | 29 | 14 | 25 |    | F  | 18 | 33 |
| 118 | 2015/7/17  | 6355438  | 5  | 8  | 9  | 24 | 27 | 28 | 30 |    | D  | 16 | 20 |
| 357 | 2020/2/28  | 6388984  | 5  | 8  | 12 | 13 | 14 | 24 | 30 |    | D  | 27 | 35 |
| 59  | 2014/5/23  | 6390257  | 5  | 8  | 12 | 13 | 21 | 30 | 35 |    | A  | 27 | 34 |
| 307 | 2019/3/8   | 6427315  | 5  | 8  | 15 | 24 | 25 | 32 | 35 |    | F  | 20 | 26 |
| 250 | 2018/2/2   | 6461331  | 5  | 9  | 10 | 13 | 26 | 30 | 34 |    | F  | 18 | 23 |
| 361 | 2020/3/27  | 6530083  | 5  | 9  | 16 | 20 | 29 | 33 | 35 |    | A  | 2  | 8  |
| 157 | 2016/4/22  | 6532080  | 5  | 9  | 16 | 26 | 28 | 29 | 32 |    | C  | 1  | 37 |
| 61  | 2014/6/6   | 6565907  | 5  | 10 | 11 | 21 | 28 | 31 | 37 |    | F  | 13 | 14 |
| 432 | 2021/8/13  | 6590308  | 5  | 10 | 13 | 24 | 29 | 30 | 35 |    | D  | 21 | 31 |
| 440 | 2021/10/8  | 6613300  | 5  | 10 | 17 | 18 | 19 | 22 | 32 |    | H  | 14 | 35 |
| 241 | 2017/12/1  | 6642572  | 5  | 11 | 12 | 19 | 21 | 26 | 28 |    | H  | 4  | 20 |
| 74  | 2014/9/5   | 6752642  | 5  | 13 | 14 | 15 | 16 | 24 | 31 |    | I  | 9  | 11 |
| 358 | 2020/3/6   | 6761022  | 5  | 13 | 14 | 26 | 32 | 33 | 34 |    | E  | 8  | 11 |
| 213 | 2017/5/19  | 6763914  | 5  | 13 | 15 | 18 | 19 | 24 | 35 |    | I  | 20 | 23 |
| 186 | 2016/11/11 | 6805234  | 5  | 14 | 16 | 19 | 31 | 33 | 37 |    | G  | 21 | 28 |
| 257 | 2018/3/23  | 6834192  | 5  | 15 | 16 | 26 | 27 | 32 | 35 |    | G  | 23 | 28 |
| 6   | 2013/5/10  | 6845394  | 5  | 15 | 19 | 23 | 30 | 34 | 35 |    | J  | 6  | 25 |
| 452 | 2022/1/7   | 6882823  | 5  | 17 | 20 | 21 | 31 | 34 | 35 |    | E  | 8  | 27 |
| 204 | 2017/3/17  | 6903005  | 5  | 19 | 20 | 21 | 30 | 34 | 36 |    | I  | 7  | 12 |
| 172 | 2016/8/5   | 6912611  | 5  | 20 | 21 | 27 | 30 | 31 | 36 |    | D  | 9  | 26 |
| 277 | 2018/8/10  | 6958229  | 6  | 7  | 9  | 11 | 21 | 23 | 25 |    | I  | 1  | 22 |
| 253 | 2018/2/23  | 6959449  | 6  | 7  | 9  | 12 | 15 | 17 | 24 |    | H  | 26 | 29 |
| 85  | 2014/11/21 | 6975930  | 6  | 7  | 10 | 11 | 22 | 26 | 35 |    | E  | 14 | 23 |
| 112 | 2015/6/5   | 6983955  | 6  | 7  | 10 | 15 | 27 | 35 | 36 |    | E  | 13 | 20 |
| 377 | 2020/7/17  | 6986320  | 6  | 7  | 10 | 17 | 25 | 33 | 36 |    | I  | 27 | 32 |
| 284 | 2018/9/28  | 6990816  | 6  | 7  | 10 | 25 | 29 | 30 | 33 |    | A  | 1  | 31 |
| 28  | 2013/10/11 | 7010860  | 6  | 7  | 12 | 15 | 19 | 35 | 37 |    | J  | 1  | 11 |
| 150 | 2016/3/4   | 7035955  | 6  | 7  | 14 | 20 | 27 | 31 | 34 |    | A  | 11 | 24 |
| 197 | 2017/1/27  | 7096038  | 6  | 8  | 10 | 12 | 16 | 21 | 28 |    | A  | 14 | 23 |
| 115 | 2015/6/26  | 7138762  | 6  | 8  | 13 | 14 | 20 | 25 | 27 |    | G  | 24 | 26 |
| 30  | 2013/10/25 | 7146832  | 6  | 8  | 13 | 22 | 26 | 32 | 36 |    | G  | 16 | 34 |
| 372 | 2020/6/12  | 7186856  | 6  | 8  | 22 | 23 | 32 | 33 | 36 |    | E  | 9  | 27 |
| 345 | 2019/11/29 | 7204447  | 6  | 9  | 10 | 18 | 28 | 31 | 32 |    | G  | 24 | 35 |
| 178 | 2016/9/16  | 7215893  | 6  | 9  | 11 | 15 | 26 | 34 | 36 |    | E  | 13 | 37 |
| 219 | 2017/6/30  | 7237166  | 6  | 9  | 13 | 14 | 21 | 25 | 31 |    | I  | 2  | 4  |
| 243 | 2017/12/15 | 7241985  | 6  | 9  | 13 | 18 | 20 | 22 | 30 |    | D  | 11 | 14 |
| 278 | 2018/8/17  | 7253317  | 6  | 9  | 14 | 21 | 23 | 33 | 36 |    | B  | 27 | 28 |
| 106 | 2015/4/24  | 7313025  | 6  | 10 | 12 | 19 | 21 | 22 | 30 |    | I  | 1  | 11 |
| 13  | 2013/6/28  | 7347560  | 6  | 10 | 16 | 21 | 27 | 28 | 35 |    | C  | 15 | 34 |
| 394 | 2020/11/13 | 7365749  | 6  | 10 | 22 | 23 | 27 | 32 | 33 |    | E  | 8  | 19 |
| 376 | 2020/7/10  | 7396794  | 6  | 11 | 14 | 17 | 23 | 31 | 37 |    | G  | 10 | 15 |
| 228 | 2017/9/1   | 7399870  | 6  | 11 | 14 | 21 | 24 | 28 | 31 |    | C  | 22 | 36 |
| 429 | 2021/7/23  | 7401761  | 6  | 11 | 14 | 27 | 30 | 32 | 35 |    | J  | 18 | 24 |
| 266 | 2018/5/25  | 7403758  | 6  | 11 | 15 | 17 | 20 | 27 | 32 |    | B  | 16 | 22 |
| 142 | 2016/1/8   | 7450658  | 6  | 12 | 14 | 18 | 21 | 27 | 28 |    | J  | 1  | 33 |
| 442 | 2021/10/22 | 7490825  | 6  | 13 | 14 | 16 | 19 | 30 | 32 |    | E  | 25 | 36 |
| 203 | 2017/3/10  | 7514415  | 6  | 13 | 17 | 22 | 32 | 33 | 36 |    | A  | 12 | 28 |
| 340 | 2019/10/25 | 7548974  | 6  | 14 | 17 | 26 | 27 | 30 | 36 |    | D  | 12 | 28 |
| 188 | 2016/11/25 | 7582029  | 6  | 15 | 19 | 25 | 26 | 30 | 31 |    | E  | 14 | 18 |
| 183 | 2016/10/21 | 7584759  | 6  | 15 | 20 | 26 | 33 | 34 | 37 |    | B  | 19 | 29 |
| 109 | 2015/5/15  | 7618817  | 6  | 17 | 20 | 21 | 24 | 30 | 32 |    | B  | 7  | 23 |
| 175 | 2016/8/26  | 7622749  | 6  | 17 | 21 | 31 | 33 | 35 | 37 |    | H  | 14 | 18 |
| 305 | 2019/2/22  | 7624258  | 6  | 17 | 23 | 24 | 27 | 28 | 31 |    | H  | 10 | 18 |
| 368 | 2020/5/15  | 7675181  | 7  | 8  | 9  | 13 | 21 | 34 | 35 |    | J  | 3  | 20 |
| 111 | 2015/5/29  | 7685548  | 7  | 8  | 9  | 24 | 28 | 30 | 33 |    | J  | 1  | 34 |
| 37  | 2013/12/13 | 7691372  | 7  | 8  | 10 | 13 | 14 | 19 | 37 |    | J  | 29 | 33 |
| 181 | 2016/10/7  | 7692376  | 7  | 8  | 10 | 13 | 19 | 23 | 24 |    | J  | 15 | 27 |
| 317 | 2019/5/17  | 7742214  | 7  | 8  | 14 | 15 | 16 | 20 | 29 |    | H  | 18 | 19 |
| 153 | 2016/3/25  | 7795501  | 7  | 9  | 10 | 16 | 20 | 28 | 37 |    | D  | 2  | 33 |
| 304 | 2019/2/15  | 7797266  | 7  | 9  | 10 | 17 | 28 | 33 | 36 |    | A  | 18 | 23 |
| 104 | 2015/4/10  | 7808402  | 7  | 9  | 11 | 15 | 16 | 22 | 37 |    | A  | 12 | 13 |
| 220 | 2017/7/7   | 7813018  | 7  | 9  | 11 | 18 | 25 | 28 | 35 |    | H  | 20 | 27 |
| 402 | 2021/1/15  | 7824214  | 7  | 9  | 12 | 17 | 20 | 26 | 29 |    | C  | 4  | 13 |
| 338 | 2019/10/11 | 7857326  | 7  | 9  | 16 | 17 | 23 | 27 | 34 |    | F  | 15 | 36 |
| 173 | 2016/8/12  | 7872661  | 7  | 9  | 19 | 22 | 24 | 27 | 30 |    | G  | 4  | 28 |
| 1   | 2013/4/5   | 7905284  | 7  | 10 | 12 | 17 | 23 | 28 | 34 |    | A  | 3  | 15 |
| 132 | 2015/10/23 | 7923321  | 7  | 10 | 14 | 16 | 20 | 30 | 31 |    | E  | 35 | 37 |
| 370 | 2020/5/29  | 7942644  | 7  | 10 | 16 | 25 | 26 | 33 | 34 |    | E  | 24 | 35 |
| 458 | 2022/2/18  | 7966517  | 7  | 11 | 12 | 14 | 19 | 21 | 33 |    | J  | 6  | 37 |
| 431 | 2021/8/6   | 7970504  | 7  | 11 | 12 | 17 | 19 | 20 | 26 |    | A  | 2  | 3  |
| 67  | 2014/7/18  | 7997226  | 7  | 11 | 15 | 17 | 18 | 25 | 35 |    | A  | 6  | 33 |
| 279 | 2018/8/24  | 7997350  | 7  | 11 | 15 | 17 | 19 | 23 | 31 |    | E  | 9  | 37 |
| 462 | 2022/3/18  | 8027884  | 7  | 11 | 24 | 27 | 29 | 34 | 35 |    | D  | 4  | 18 |
| 97  | 2015/2/20  | 8084907  | 7  | 13 | 14 | 16 | 22 | 24 | 35 |    | G  | 1  | 29 |
| 196 | 2017/1/20  | 8098202  | 7  | 13 | 15 | 25 | 30 | 32 | 37 |    | G  | 8  | 14 |
| 39  | 2013/12/27 | 8115225  | 7  | 13 | 19 | 23 | 25 | 26 | 30 |    | F  | 1  | 18 |
| 234 | 2017/10/13 | 8125969  | 7  | 14 | 15 | 16 | 23 | 25 | 30 |    | F  | 5  | 34 |
| 393 | 2020/11/6  | 8130879  | 7  | 14 | 15 | 22 | 27 | 30 | 31 |    | D  | 9  | 32 |
| 184 | 2016/10/28 | 8145310  | 7  | 14 | 18 | 22 | 23 | 26 | 34 |    | F  | 2  | 32 |
| 457 | 2022/2/11  | 8149925  | 7  | 14 | 19 | 27 | 31 | 35 | 36 |    | I  | 9  | 33 |
| 399 | 2020/12/18 | 8173544  | 7  | 15 | 19 | 20 | 21 | 33 | 36 |    | D  | 4  | 10 |
| 211 | 2017/5/5   | 8181529  | 7  | 15 | 22 | 25 | 31 | 32 | 35 |    | E  | 29 | 36 |
| 448 | 2021/12/3  | 8250297  | 7  | 21 | 24 | 29 | 32 | 36 | 37 |    | B  | 22 | 27 |
| 464 | 2022/4/1   | 7737257  | 7  | 32 | 30 | 17 | 8  | 36 | 13 |    | A  | 1  | 10 |
| 416 | 2021/4/23  | 8268550  | 8  | 9  | 10 | 15 | 16 | 30 | 31 |    | J  | 29 | 36 |
| 87  | 2014/12/5  | 8300224  | 8  | 9  | 12 | 18 | 20 | 28 | 31 |    | A  | 13 | 15 |
| 135 | 2015/11/13 | 8306294  | 8  | 9  | 13 | 14 | 24 | 32 | 34 |    | F  | 3  | 4  |
| 275 | 2018/7/27  | 8328204  | 8  | 9  | 15 | 19 | 24 | 25 | 35 |    | E  | 34 | 37 |
| 437 | 2021/9/17  | 8397277  | 8  | 10 | 14 | 15 | 23 | 25 | 26 |    | G  | 1  | 11 |
| 52  | 2014/4/4   | 8434786  | 8  | 10 | 22 | 24 | 26 | 32 | 34 |    | B  | 5  | 9  |
| 49  | 2014/3/14  | 8446136  | 8  | 11 | 12 | 17 | 24 | 26 | 27 |    | E  | 14 | 21 |
| 383 | 2020/8/28  | 8476555  | 8  | 11 | 15 | 22 | 26 | 28 | 30 |    | H  | 10 | 20 |
| 201 | 2017/2/24  | 8488139  | 8  | 11 | 17 | 24 | 28 | 31 | 32 |    | D  | 12 | 34 |
| 152 | 2016/3/18  | 8539820  | 8  | 12 | 17 | 21 | 23 | 24 | 31 |    | G  | 6  | 7  |
| 264 | 2018/5/11  | 8568294  | 8  | 13 | 15 | 17 | 21 | 26 | 29 |    | I  | 4  | 24 |
| 351 | 2020/1/17  | 8581093  | 8  | 13 | 17 | 19 | 23 | 25 | 28 |    | F  | 5  | 16 |
| 239 | 2017/11/17 | 8582372  | 8  | 13 | 17 | 21 | 23 | 28 | 37 |    | C  | 1  | 14 |
| 267 | 2018/6/1   | 8585647  | 8  | 13 | 18 | 20 | 23 | 25 | 26 |    | D  | 6  | 28 |
| 114 | 2015/6/19  | 8599312  | 8  | 13 | 26 | 27 | 28 | 29 | 37 |    | F  | 4  | 12 |
| 161 | 2016/5/20  | 8613577  | 8  | 14 | 17 | 18 | 20 | 22 | 34 |    | B  | 4  | 30 |
| 367 | 2020/5/8   | 8622714  | 8  | 14 | 19 | 20 | 29 | 30 | 31 |    | B  | 7  | 35 |
| 380 | 2020/8/7   | 8631949  | 8  | 14 | 24 | 25 | 32 | 34 | 36 |    | D  | 13 | 16 |
| 191 | 2016/12/16 | 8654778  | 8  | 15 | 21 | 24 | 26 | 27 | 29 |    | J  | 7  | 30 |
| 84  | 2014/11/14 | 8678242  | 8  | 16 | 23 | 28 | 29 | 35 | 36 |    | I  | 12 | 37 |
| 302 | 2019/2/1   | 8679659  | 8  | 16 | 26 | 27 | 28 | 32 | 34 |    | G  | 4  | 25 |
| 454 | 2022/1/21  | 8691080  | 8  | 17 | 21 | 26 | 27 | 29 | 31 |    | H  | 1  | 33 |
| 252 | 2018/2/16  | 8729760  | 8  | 23 | 24 | 25 | 27 | 30 | 31 |    | C  | 11 | 17 |
| 469 | 2022/5/6   | 1080775  | 8  | 30 | 1  | 33 | 6  | 16 | 13 |    | I  | 23 | 28 |
| 151 | 2016/3/11  | 8764925  | 9  | 10 | 13 | 15 | 21 | 22 | 24 |    | B  | 4  | 8  |
| 336 | 2019/9/27  | 8770859  | 9  | 10 | 13 | 21 | 25 | 31 | 33 |    | B  | 24 | 37 |
| 335 | 2019/9/20  | 8795519  | 9  | 10 | 17 | 18 | 22 | 25 | 35 |    | C  | 13 | 14 |
| 70  | 2014/8/8   | 8801846  | 9  | 10 | 18 | 21 | 27 | 33 | 35 |    | F  | 4  | 11 |
| 117 | 2015/7/10  | 8809085  | 9  | 10 | 20 | 28 | 31 | 34 | 37 |    | A  | 23 | 26 |
| 360 | 2020/3/20  | 8829058  | 9  | 11 | 13 | 14 | 20 | 22 | 37 |    | H  | 15 | 17 |
| 165 | 2016/6/17  | 8838727  | 9  | 11 | 14 | 15 | 16 | 18 | 27 |    | H  | 6  | 20 |
| 96  | 2015/2/13  | 8845174  | 9  | 11 | 14 | 21 | 22 | 23 | 24 |    | E  | 10 | 36 |
| 311 | 2019/4/5   | 8868649  | 9  | 11 | 18 | 24 | 26 | 27 | 37 |    | C  | 30 | 33 |
| 31  | 2013/11/1  | 8888395  | 9  | 12 | 13 | 19 | 23 | 33 | 34 |    | I  | 20 | 32 |
| 240 | 2017/11/24 | 8899895  | 9  | 12 | 14 | 24 | 29 | 31 | 35 |    | G  | 5  | 30 |
| 324 | 2019/7/5   | 8950503  | 9  | 13 | 16 | 17 | 18 | 19 | 20 |    | B  | 30 | 36 |
| 313 | 2019/4/19  | 8955367  | 9  | 13 | 16 | 23 | 28 | 29 | 30 |    | B  | 1  | 20 |
| 274 | 2018/7/20  | 9004841  | 9  | 14 | 21 | 23 | 25 | 26 | 37 |    | F  | 7  | 29 |
| 216 | 2017/6/9   | 9006547  | 9  | 14 | 22 | 24 | 25 | 36 | 37 |    | G  | 8  | 28 |
| 116 | 2015/7/3   | 9008169  | 9  | 14 | 23 | 27 | 28 | 31 | 32 |    | I  | 3  | 20 |
| 456 | 2022/2/4   | 9016912  | 9  | 15 | 17 | 18 | 22 | 25 | 31 |    | F  | 33 | 36 |
| 421 | 2021/5/28  | 9024764  | 9  | 15 | 18 | 26 | 28 | 32 | 34 |    | G  | 21 | 36 |
| 177 | 2016/9/9   | 9027026  | 9  | 15 | 19 | 23 | 25 | 34 | 36 |    | I  | 2  | 35 |
| 11  | 2013/6/14  | 9036273  | 9  | 15 | 26 | 29 | 32 | 34 | 36 |    | F  | 14 | 35 |
| 139 | 2015/12/11 | 9043351  | 9  | 16 | 18 | 21 | 23 | 34 | 35 |    | C  | 4  | 36 |
| 386 | 2020/9/18  | 9089860  | 9  | 19 | 22 | 32 | 35 | 36 | 37 |    | J  | 7  | 21 |
| 249 | 2018/1/26  | 9098837  | 9  | 20 | 28 | 29 | 31 | 34 | 37 |    | D  | 5  | 25 |
| 434 | 2021/8/27  | 9119178  | 10 | 11 | 12 | 17 | 29 | 34 | 37 |    | B  | 26 | 30 |
| 247 | 2018/1/12  | 9181850  | 10 | 12 | 13 | 16 | 34 | 35 | 36 |    | G  | 11 | 37 |
| 127 | 2015/9/18  | 9202900  | 10 | 12 | 15 | 23 | 28 | 30 | 35 |    | A  | 6  | 25 |
| 145 | 2016/1/29  | 9218509  | 10 | 12 | 18 | 28 | 29 | 30 | 35 |    | J  | 4  | 19 |
| 174 | 2016/8/19  | 9231498  | 10 | 13 | 14 | 15 | 23 | 31 | 32 |    | F  | 4  | 29 |
| 418 | 2021/5/7   | 9252975  | 10 | 13 | 17 | 18 | 22 | 28 | 37 |    | H  | 1  | 20 |
| 223 | 2017/7/28  | 9262284  | 10 | 13 | 19 | 21 | 26 | 33 | 34 |    | A  | 24 | 25 |
| 159 | 2016/5/6   | 9288756  | 10 | 14 | 17 | 21 | 23 | 27 | 31 |    | G  | 16 | 24 |
| 282 | 2018/9/14  | 9356501  | 10 | 17 | 18 | 25 | 29 | 35 | 36 |    | G  | 7  | 14 |
| 136 | 2015/11/20 | 9367144  | 10 | 17 | 24 | 27 | 30 | 33 | 37 |    | I  | 18 | 31 |
| 350 | 2020/1/10  | 9383202  | 10 | 19 | 21 | 23 | 24 | 30 | 37 |    | D  | 2  | 28 |
| 391 | 2020/10/23 | 9404177  | 10 | 23 | 27 | 32 | 33 | 35 | 37 |    | F  | 24 | 26 |
| 366 | 2020/5/1   | 9404477  | 10 | 24 | 25 | 26 | 27 | 33 | 36 |    | D  | 4  | 23 |
| 215 | 2017/6/2   | 9416192  | 11 | 12 | 13 | 21 | 29 | 36 | 37 |    | D  | 7  | 9  |
| 12  | 2013/6/21  | 9423649  | 11 | 12 | 14 | 19 | 26 | 27 | 33 |    | A  | 24 | 32 |
| 72  | 2014/8/22  | 9445184  | 11 | 12 | 18 | 19 | 20 | 31 | 32 |    | D  | 9  | 21 |
| 101 | 2015/3/20  | 9455119  | 11 | 12 | 21 | 23 | 28 | 36 | 37 |    | H  | 3  | 16 |
| 293 | 2018/11/30 | 9474212  | 11 | 13 | 15 | 20 | 27 | 29 | 35 |    | J  | 1  | 7  |
| 26  | 2013/9/27  | 9478670  | 11 | 13 | 16 | 18 | 26 | 31 | 36 |    | D  | 21 | 27 |
| 427 | 2021/7/9   | 9502378  | 11 | 13 | 26 | 27 | 31 | 33 | 37 |    | J  | 9  | 18 |
| 323 | 2019/6/28  | 9508402  | 11 | 14 | 15 | 21 | 26 | 34 | 36 |    | C  | 23 | 27 |
| 444 | 2021/11/5  | 9536843  | 11 | 15 | 16 | 17 | 18 | 27 | 29 |    | I  | 25 | 33 |
| 339 | 2019/10/18 | 9548616  | 11 | 15 | 18 | 20 | 23 | 25 | 32 |    | B  | 9  | 37 |
| 285 | 2018/10/5  | 9558321  | 11 | 15 | 21 | 26 | 30 | 34 | 35 |    | F  | 4  | 36 |
| 353 | 2020/1/31  | 9558737  | 11 | 15 | 22 | 23 | 24 | 29 | 33 |    | G  | 19 | 34 |
| 346 | 2019/12/6  | 9570727  | 11 | 16 | 18 | 23 | 30 | 31 | 35 |    | C  | 3  | 27 |
| 344 | 2019/11/22 | 9618882  | 11 | 19 | 28 | 29 | 31 | 32 | 37 |    | I  | 12 | 21 |
| 192 | 2016/12/23 | 9643238  | 12 | 13 | 14 | 19 | 25 | 33 | 34 |    | F  | 3  | 22 |
| 265 | 2018/5/18  | 9650143  | 12 | 13 | 15 | 19 | 21 | 24 | 36 |    | H  | 10 | 37 |
| 306 | 2019/3/1   | 9652249  | 12 | 13 | 15 | 22 | 25 | 33 | 35 |    | D  | 1  | 31 |
| 4   | 2013/4/26  | 9675842  | 12 | 13 | 22 | 23 | 24 | 28 | 29 |    | C  | 2  | 14 |
| 292 | 2018/11/23 | 9738887  | 12 | 15 | 25 | 26 | 27 | 29 | 35 |    | A  | 24 | 30 |
| 73  | 2014/8/29  | 9757865  | 12 | 16 | 23 | 25 | 27 | 30 | 32 |    | H  | 28 | 33 |
| 226 | 2017/8/18  | 9770738  | 12 | 17 | 21 | 24 | 26 | 30 | 32 |    | B  | 10 | 22 |
| 18  | 2013/8/2   | 9770857  | 12 | 17 | 21 | 24 | 29 | 31 | 36 |    | G  | 20 | 26 |
| 283 | 2018/9/21  | 9816844  | 13 | 14 | 15 | 17 | 23 | 29 | 31 |    | D  | 10 | 19 |
| 200 | 2017/2/17  | 9830938  | 13 | 14 | 17 | 21 | 27 | 28 | 34 |    | B  | 1  | 11 |
| 409 | 2021/3/5   | 9853641  | 13 | 15 | 16 | 24 | 30 | 31 | 37 |    | I  | 12 | 33 |
| 225 | 2017/8/11  | 9854564  | 13 | 15 | 17 | 18 | 20 | 21 | 26 |    | G  | 25 | 29 |
| 363 | 2020/4/10  | 9857717  | 13 | 15 | 17 | 22 | 26 | 34 | 36 |    | F  | 3  | 19 |
| 375 | 2020/7/3   | 9859653  | 13 | 15 | 18 | 19 | 23 | 27 | 32 |    | F  | 34 | 35 |
