+------+------------+---------+----+----+----+----+----+----+----+----+----+
|  t1  |     d1     |   z1    | s1 | s2 | s3 | s4 | s5 | s6 | "" | z2 | b1 |
| 1381 | 2019/5/20  | 947288  | 2  | 4  | 5  | 16 | 19 | 38 |    | C  | 25 |
| 299  | 2006/7/13  | 947864  | 2  | 4  | 5  | 17 | 35 | 41 |    | I  | 18 |
| 1024 | 2015/11/30 | 948708  | 2  | 4  | 5  | 20 | 37 | 43 |    | E  | 32 |
| 904  | 2014/10/2  | 954755  | 2  | 4  | 6  | 15 | 21 | 41 |    | J  | 29 |
| 462  | 2009/9/10  | 955263  | 2  | 4  | 6  | 16 | 31 | 33 |    | E  | 5  |
| 1175 | 2017/5/18  | 956598  | 2  | 4  | 6  | 21 | 27 | 37 |    | B  | 28 |
| 411  | 2008/9/11  | 957263  | 2  | 4  | 6  | 24 | 35 | 39 |    | A  | 34 |
| 1203 | 2017/8/24  | 958237  | 2  | 4  | 6  | 37 | 39 | 42 |    | H  | 41 |
| 627  | 2012/1/26  | 963343  | 2  | 4  | 7  | 19 | 34 | 42 |    | J  | 30 |
| 1031 | 2015/12/24 | 964011  | 2  | 4  | 7  | 22 | 32 | 35 |    | D  | 1  |
| 1443 | 2019/12/23 | 966273  | 2  | 4  | 8  | 10 | 22 | 33 |    | D  | 28 |
| 774  | 2013/7/1   | 973512  | 2  | 4  | 9  | 13 | 16 | 33 |    | H  | 15 |
| 1383 | 2019/5/27  | 974353  | 2  | 4  | 9  | 15 | 18 | 39 |    | A  | 24 |
| 75   | 2002/3/14  | 975707  | 2  | 4  | 9  | 19 | 23 | 31 |    | B  | 18 |
| 888  | 2014/8/7   | 977879  | 2  | 4  | 9  | 36 | 37 | 39 |    | F  | 43 |
| 570  | 2011/7/7   | 982924  | 2  | 4  | 10 | 28 | 38 | 43 |    | F  | 25 |
| 753  | 2013/4/18  | 984815  | 2  | 4  | 11 | 15 | 20 | 38 |    | G  | 18 |
| 520  | 2010/10/28 | 989054  | 2  | 4  | 12 | 14 | 26 | 43 |    | D  | 40 |
| 1669 | 2022/3/7   | 993026  | 2  | 4  | 13 | 14 | 22 | 29 |    | H  | 26 |
| 302  | 2006/8/3   | 995751  | 2  | 4  | 13 | 23 | 38 | 40 |    | H  | 24 |
| 1562 | 2021/2/22  | 1000763 | 2  | 4  | 15 | 16 | 26 | 33 |    | E  | 25 |
| 1435 | 2019/11/25 | 1005006 | 2  | 4  | 16 | 21 | 22 | 40 |    | B  | 9  |
| 970  | 2015/5/25  | 1010448 | 2  | 4  | 18 | 23 | 31 | 38 |    | A  | 1  |
| 827  | 2014/1/6   | 1018448 | 2  | 4  | 23 | 24 | 33 | 41 |    | E  | 5  |
| 264  | 2005/11/10 | 1025265 | 2  | 5  | 6  | 8  | 20 | 27 |    | F  | 43 |
| 1615 | 2021/8/26  | 1027729 | 2  | 5  | 6  | 13 | 19 | 29 |    | F  | 25 |
| 1438 | 2019/12/5  | 1030258 | 2  | 5  | 6  | 20 | 33 | 38 |    | G  | 22 |
| 1568 | 2021/3/15  | 1033403 | 2  | 5  | 7  | 10 | 16 | 34 |    | A  | 14 |
| 631  | 2012/2/9   | 1033739 | 2  | 5  | 7  | 10 | 36 | 40 |    | I  | 12 |
| 1641 | 2021/11/25 | 1034350 | 2  | 5  | 7  | 12 | 16 | 20 |    | C  | 33 |
| 1411 | 2019/9/2   | 1037280 | 2  | 5  | 7  | 20 | 25 | 28 |    | C  | 3  |
| 712  | 2012/11/19 | 1039356 | 2  | 5  | 8  | 9  | 14 | 25 |    | I  | 18 |
| 1605 | 2021/7/22  | 1043899 | 2  | 5  | 8  | 20 | 29 | 40 |    | F  | 6  |
| 1527 | 2020/10/19 | 1046657 | 2  | 5  | 9  | 11 | 27 | 32 |    | D  | 33 |
| 1536 | 2020/11/19 | 1051444 | 2  | 5  | 9  | 30 | 37 | 40 |    | I  | 28 |
| 1530 | 2020/10/29 | 1057102 | 2  | 5  | 10 | 34 | 37 | 40 |    | H  | 7  |
| 1446 | 2020/1/9   | 1060151 | 2  | 5  | 11 | 20 | 21 | 32 |    | C  | 13 |
| 437  | 2009/3/19  | 1060434 | 2  | 5  | 11 | 21 | 23 | 43 |    | B  | 15 |
| 744  | 2013/3/18  | 1062926 | 2  | 5  | 12 | 14 | 30 | 42 |    | C  | 3  |
| 109  | 2002/11/7  | 1064279 | 2  | 5  | 12 | 18 | 30 | 41 |    | A  | 24 |
| 528  | 2010/12/23 | 1065003 | 2  | 5  | 12 | 21 | 28 | 32 |    | C  | 41 |
| 610  | 2011/11/24 | 1065381 | 2  | 5  | 12 | 23 | 26 | 41 |    | H  | 36 |
| 294  | 2006/6/8   | 1066717 | 2  | 5  | 13 | 14 | 17 | 20 |    | D  | 21 |
| 1293 | 2018/7/9   | 1077003 | 2  | 5  | 15 | 27 | 30 | 35 |    | H  | 11 |
| 1256 | 2018/3/1   | 1080379 | 2  | 5  | 16 | 32 | 35 | 41 |    | G  | 25 |
| 480  | 2010/1/21  | 1080841 | 2  | 5  | 17 | 18 | 35 | 38 |    | D  | 34 |
| 844  | 2014/3/6   | 1084881 | 2  | 5  | 18 | 27 | 35 | 38 |    | F  | 24 |
| 1177 | 2017/5/25  | 1089284 | 2  | 5  | 21 | 22 | 23 | 38 |    | A  | 36 |
| 1375 | 2019/4/29  | 1089408 | 2  | 5  | 21 | 22 | 31 | 38 |    | E  | 28 |
| 1376 | 2019/5/2   | 1091864 | 2  | 5  | 22 | 31 | 32 | 43 |    | B  | 27 |
| 1363 | 2019/3/18  | 1093227 | 2  | 5  | 23 | 36 | 37 | 41 |    | G  | 43 |
| 48   | 2001/8/30  | 1096425 | 2  | 5  | 28 | 30 | 33 | 40 |    | J  | 26 |
| 412  | 2008/9/18  | 1098905 | 2  | 6  | 7  | 9  | 16 | 19 |    | G  | 33 |
| 1117 | 2016/10/24 | 1098984 | 2  | 6  | 7  | 9  | 19 | 23 |    | G  | 21 |
| 1531 | 2020/11/2  | 1099720 | 2  | 6  | 7  | 10 | 30 | 33 |    | B  | 14 |
| 421  | 2008/11/20 | 1106191 | 2  | 6  | 8  | 10 | 25 | 34 |    | C  | 31 |
| 1291 | 2018/7/2   | 1106853 | 2  | 6  | 8  | 12 | 13 | 17 |    | D  | 1  |
| 487  | 2010/3/11  | 1109566 | 2  | 6  | 8  | 19 | 22 | 34 |    | J  | 30 |
| 1585 | 2021/5/13  | 1118827 | 2  | 6  | 10 | 13 | 16 | 32 |    | E  | 9  |
| 1451 | 2020/1/27  | 1121307 | 2  | 6  | 10 | 20 | 24 | 43 |    | C  | 34 |
| 134  | 2003/5/8   | 1124231 | 2  | 6  | 11 | 14 | 18 | 19 |    | E  | 21 |
| 767  | 2013/6/6   | 1127552 | 2  | 6  | 11 | 27 | 29 | 37 |    | E  | 14 |
| 496  | 2010/5/13  | 1127788 | 2  | 6  | 11 | 29 | 32 | 41 |    | B  | 3  |
| 252  | 2005/8/18  | 1135369 | 2  | 6  | 13 | 22 | 32 | 33 |    | E  | 12 |
| 1248 | 2018/2/1   | 1139921 | 2  | 6  | 14 | 28 | 34 | 37 |    | F  | 3  |
| 382  | 2008/2/21  | 1143148 | 2  | 6  | 15 | 28 | 29 | 43 |    | A  | 14 |
| 1100 | 2016/8/25  | 1145416 | 2  | 6  | 16 | 23 | 32 | 35 |    | A  | 37 |
| 950  | 2015/3/16  | 1145570 | 2  | 6  | 16 | 24 | 30 | 41 |    | C  | 18 |
| 673  | 2012/7/5   | 1145940 | 2  | 6  | 16 | 27 | 28 | 29 |    | H  | 38 |
| 613  | 2011/12/5  | 1150778 | 2  | 6  | 18 | 26 | 32 | 37 |    | C  | 5  |
| 811  | 2013/11/7  | 1154276 | 2  | 6  | 20 | 24 | 31 | 40 |    | J  | 34 |
| 1184 | 2017/6/19  | 1156495 | 2  | 6  | 21 | 30 | 31 | 36 |    | C  | 41 |
| 643  | 2012/3/22  | 1156600 | 2  | 6  | 21 | 31 | 35 | 37 |    | F  | 15 |
| 614  | 2011/12/8  | 1157301 | 2  | 6  | 22 | 25 | 31 | 42 |    | G  | 1  |
| 1338 | 2018/12/13 | 1158418 | 2  | 6  | 23 | 25 | 30 | 31 |    | B  | 35 |
| 917  | 2014/11/17 | 1160427 | 2  | 6  | 25 | 26 | 41 | 42 |    | I  | 18 |
| 666  | 2012/6/11  | 1162450 | 2  | 6  | 28 | 30 | 31 | 41 |    | D  | 7  |
| 1114 | 2016/10/13 | 1176229 | 2  | 7  | 9  | 28 | 38 | 39 |    | F  | 26 |
| 1653 | 2022/1/10  | 1177561 | 2  | 7  | 10 | 12 | 29 | 36 |    | D  | 6  |
| 1233 | 2017/12/7  | 1189968 | 2  | 7  | 12 | 21 | 29 | 33 |    | G  | 16 |
| 318  | 2006/11/23 | 1192717 | 2  | 7  | 13 | 16 | 36 | 37 |    | C  | 41 |
| 647  | 2012/4/5   | 1201248 | 2  | 7  | 15 | 22 | 36 | 43 |    | B  | 27 |
| 559  | 2011/5/30  | 1204572 | 2  | 7  | 16 | 25 | 26 | 43 |    | F  | 3  |
| 972  | 2015/6/1   | 1205590 | 2  | 7  | 17 | 18 | 21 | 40 |    | C  | 29 |
| 884  | 2014/7/24  | 1219323 | 2  | 7  | 25 | 26 | 38 | 42 |    | B  | 19 |
| 1062 | 2016/4/14  | 1221705 | 2  | 7  | 28 | 39 | 42 | 43 |    | D  | 41 |
| 1343 | 2019/1/7   | 1229723 | 2  | 8  | 10 | 12 | 19 | 23 |    | E  | 16 |
| 1200 | 2017/8/14  | 1229952 | 2  | 8  | 10 | 12 | 31 | 42 |    | G  | 21 |
| 1    | 2000/10/5  | 1230321 | 2  | 8  | 10 | 13 | 27 | 30 |    | A  | 39 |
| 664  | 2012/6/4   | 1234829 | 2  | 8  | 11 | 12 | 26 | 29 |    | E  | 22 |
| 14   | 2001/1/4   | 1239398 | 2  | 8  | 11 | 35 | 37 | 38 |    | F  | 43 |
| 1645 | 2021/12/9  | 1244327 | 2  | 8  | 13 | 14 | 33 | 40 |    | D  | 6  |
| 656  | 2012/5/7   | 1245270 | 2  | 8  | 13 | 17 | 25 | 37 |    | I  | 30 |
| 788  | 2013/8/19  | 1247392 | 2  | 8  | 13 | 27 | 31 | 32 |    | C  | 16 |
| 776  | 2013/7/8   | 1250437 | 2  | 8  | 14 | 23 | 28 | 42 |    | C  | 25 |
| 1575 | 2021/4/8   | 1253931 | 2  | 8  | 15 | 24 | 32 | 39 |    | D  | 9  |
| 483  | 2010/2/11  | 1253937 | 2  | 8  | 15 | 24 | 33 | 35 |    | C  | 30 |
| 1555 | 2021/1/28  | 1259157 | 2  | 8  | 17 | 23 | 24 | 27 |    | B  | 5  |
| 331  | 2007/2/22  | 1259455 | 2  | 8  | 17 | 24 | 32 | 38 |    | I  | 35 |
| 1036 | 2016/1/14  | 1259834 | 2  | 8  | 17 | 27 | 30 | 31 |    | J  | 13 |
| 676  | 2012/7/16  | 1266448 | 2  | 8  | 20 | 33 | 38 | 42 |    | F  | 21 |
| 874  | 2014/6/19  | 1267508 | 2  | 8  | 21 | 27 | 33 | 37 |    | J  | 42 |
| 1569 | 2021/3/18  | 1274148 | 2  | 8  | 29 | 31 | 32 | 33 |    | I  | 16 |
| 706  | 2012/10/29 | 1274171 | 2  | 8  | 29 | 31 | 34 | 37 |    | B  | 9  |
| 1121 | 2016/11/7  | 1274925 | 2  | 8  | 31 | 38 | 40 | 42 |    | H  | 41 |
| 1416 | 2019/9/19  | 1277436 | 2  | 9  | 10 | 15 | 24 | 36 |    | D  | 13 |
| 828  | 2014/1/9   | 1279768 | 2  | 9  | 10 | 24 | 25 | 43 |    | C  | 26 |
| 386  | 2008/3/20  | 1282366 | 2  | 9  | 11 | 15 | 23 | 25 |    | C  | 27 |
| 481  | 2010/1/28  | 1284719 | 2  | 9  | 11 | 24 | 25 | 34 |    | C  | 20 |
| 1447 | 2020/1/13  | 1285858 | 2  | 9  | 12 | 13 | 14 | 22 |    | E  | 10 |
| 946  | 2015/3/2   | 1287347 | 2  | 9  | 12 | 16 | 31 | 36 |    | H  | 41 |
| 919  | 2014/11/24 | 1287699 | 2  | 9  | 12 | 17 | 33 | 42 |    | F  | 26 |
| 1532 | 2020/11/5  | 1294787 | 2  | 9  | 14 | 16 | 17 | 21 |    | G  | 34 |
| 1333 | 2018/11/26 | 1299861 | 2  | 9  | 15 | 22 | 26 | 35 |    | A  | 5  |
| 174  | 2004/2/19  | 1304214 | 2  | 9  | 16 | 36 | 38 | 42 |    | F  | 6  |
| 953  | 2015/3/26  | 1306843 | 2  | 9  | 17 | 38 | 39 | 42 |    | J  | 20 |
| 1176 | 2017/5/22  | 1307918 | 2  | 9  | 18 | 23 | 29 | 32 |    | F  | 34 |
| 853  | 2014/4/7   | 1315071 | 2  | 9  | 22 | 26 | 31 | 35 |    | F  | 7  |
| 38   | 2001/6/21  | 1318834 | 2  | 9  | 26 | 27 | 34 | 43 |    | F  | 42 |
| 357  | 2007/8/23  | 1321994 | 2  | 10 | 11 | 12 | 19 | 38 |    | C  | 6  |
| 1618 | 2021/9/6   | 1336364 | 2  | 10 | 14 | 17 | 37 | 43 |    | G  | 38 |
| 696  | 2012/9/24  | 1336930 | 2  | 10 | 14 | 19 | 36 | 39 |    | J  | 9  |
| 729  | 2013/1/24  | 1342759 | 2  | 10 | 16 | 18 | 27 | 42 |    | H  | 22 |
| 593  | 2011/9/26  | 1344396 | 2  | 10 | 16 | 26 | 29 | 30 |    | B  | 4  |
| 1573 | 2021/4/1   | 1345164 | 2  | 10 | 16 | 38 | 39 | 43 |    | H  | 11 |
| 889  | 2014/8/11  | 1354959 | 2  | 10 | 21 | 28 | 41 | 43 |    | C  | 12 |
| 65   | 2001/12/27 | 1355539 | 2  | 10 | 22 | 23 | 31 | 43 |    | I  | 28 |
| 1353 | 2019/2/11  | 1364951 | 2  | 11 | 12 | 19 | 21 | 24 |    | E  | 36 |
| 435  | 2009/3/5   | 1366736 | 2  | 11 | 12 | 28 | 35 | 37 |    | I  | 27 |
| 370  | 2007/11/22 | 1367647 | 2  | 11 | 13 | 15 | 16 | 32 |    | G  | 43 |
| 538  | 2011/3/3   | 1373653 | 2  | 11 | 14 | 23 | 26 | 33 |    | E  | 28 |
| 1092 | 2016/7/28  | 1385392 | 2  | 11 | 18 | 27 | 30 | 33 |    | B  | 14 |
| 1057 | 2016/3/28  | 1386414 | 2  | 11 | 19 | 21 | 28 | 38 |    | I  | 25 |
| 809  | 2013/10/31 | 1389554 | 2  | 11 | 20 | 31 | 32 | 37 |    | G  | 17 |
| 957  | 2015/4/9   | 1392518 | 2  | 11 | 22 | 32 | 36 | 42 |    | E  | 20 |
| 619  | 2011/12/26 | 1397419 | 2  | 11 | 29 | 31 | 33 | 38 |    | C  | 14 |
| 1066 | 2016/4/28  | 1397650 | 2  | 11 | 29 | 36 | 40 | 42 |    | F  | 17 |
| 850  | 2014/3/27  | 1397798 | 2  | 11 | 30 | 32 | 38 | 41 |    | D  | 4  |
| 742  | 2013/3/11  | 1398878 | 2  | 12 | 13 | 14 | 22 | 35 |    | J  | 4  |
| 845  | 2014/3/10  | 1401240 | 2  | 12 | 13 | 22 | 24 | 34 |    | A  | 20 |
| 697  | 2012/9/27  | 1404099 | 2  | 12 | 14 | 18 | 40 | 41 |    | H  | 6  |
| 935  | 2015/1/22  | 1405714 | 2  | 12 | 14 | 26 | 38 | 43 |    | H  | 8  |
| 410  | 2008/9/4   | 1410834 | 2  | 12 | 16 | 20 | 42 | 43 |    | F  | 28 |
| 583  | 2011/8/22  | 1412902 | 2  | 12 | 17 | 18 | 40 | 43 |    | B  | 16 |
| 251  | 2005/8/11  | 1418615 | 2  | 12 | 19 | 25 | 29 | 36 |    | G  | 26 |
| 636  | 2012/2/27  | 1421512 | 2  | 12 | 21 | 23 | 24 | 26 |    | D  | 36 |
| 471  | 2009/11/12 | 1432278 | 2  | 13 | 14 | 22 | 23 | 32 |    | C  | 34 |
| 596  | 2011/10/6  | 1441541 | 2  | 13 | 17 | 24 | 29 | 34 |    | H  | 12 |
| 1586 | 2021/5/17  | 1446370 | 2  | 13 | 19 | 27 | 40 | 42 |    | F  | 14 |
| 708  | 2012/11/5  | 1447217 | 2  | 13 | 20 | 22 | 25 | 38 |    | F  | 35 |
| 49   | 2001/9/6   | 1449968 | 2  | 13 | 21 | 31 | 32 | 41 |    | H  | 35 |
| 1401 | 2019/7/29  | 1451583 | 2  | 13 | 23 | 24 | 25 | 33 |    | H  | 36 |
| 413  | 2008/9/25  | 1460122 | 2  | 14 | 15 | 26 | 35 | 37 |    | J  | 25 |
| 1255 | 2018/2/26  | 1460273 | 2  | 14 | 15 | 27 | 40 | 43 |    | A  | 41 |
| 516  | 2010/9/30  | 1461057 | 2  | 14 | 16 | 17 | 29 | 30 |    | G  | 10 |
| 748  | 2013/4/1   | 1463083 | 2  | 14 | 16 | 27 | 28 | 30 |    | D  | 21 |
| 736  | 2013/2/18  | 1464327 | 2  | 14 | 17 | 19 | 38 | 43 |    | I  | 6  |
| 805  | 2013/10/17 | 1469184 | 2  | 14 | 19 | 22 | 24 | 43 |    | H  | 6  |
| 64   | 2001/12/20 | 1469298 | 2  | 14 | 19 | 22 | 32 | 41 |    | J  | 9  |
| 1421 | 2019/10/7  | 1471301 | 2  | 14 | 20 | 23 | 37 | 43 |    | F  | 30 |
| 867  | 2014/5/26  | 1473296 | 2  | 14 | 21 | 26 | 37 | 38 |    | F  | 18 |
| 1149 | 2017/2/16  | 1474158 | 2  | 14 | 22 | 23 | 35 | 43 |    | B  | 31 |
| 57   | 2001/11/1  | 1474737 | 2  | 14 | 22 | 27 | 35 | 42 |    | E  | 34 |
| 714  | 2012/11/26 | 1478384 | 2  | 14 | 26 | 28 | 29 | 42 |    | G  | 13 |
| 1331 | 2018/11/19 | 1480362 | 2  | 14 | 30 | 31 | 38 | 39 |    | C  | 26 |
| 1523 | 2020/10/5  | 1485979 | 2  | 15 | 17 | 25 | 34 | 38 |    | A  | 27 |
| 53   | 2001/10/4  | 1496918 | 2  | 15 | 23 | 37 | 40 | 43 |    | C  | 25 |
| 454  | 2009/7/16  | 1506126 | 2  | 16 | 18 | 27 | 42 | 43 |    | F  | 12 |
| 1125 | 2016/11/21 | 1506761 | 2  | 16 | 19 | 20 | 24 | 36 |    | H  | 27 |
| 1349 | 2019/1/28  | 1508508 | 2  | 16 | 19 | 32 | 34 | 42 |    | G  | 33 |
| 142  | 2003/7/3   | 1512696 | 2  | 16 | 22 | 27 | 29 | 39 |    | G  | 38 |
| 1212 | 2017/9/25  | 1517456 | 2  | 16 | 27 | 35 | 40 | 42 |    | H  | 25 |
| 1459 | 2020/2/24  | 1522572 | 2  | 17 | 19 | 24 | 28 | 29 |    | E  | 7  |
| 204  | 2004/9/16  | 1524608 | 2  | 17 | 20 | 25 | 39 | 42 |    | D  | 30 |
| 312  | 2006/10/12 | 1527926 | 2  | 17 | 22 | 29 | 38 | 42 |    | D  | 16 |
| 1408 | 2019/8/22  | 1529694 | 2  | 17 | 24 | 26 | 34 | 43 |    | G  | 32 |
| 1404 | 2019/8/8   | 1533251 | 2  | 17 | 29 | 37 | 38 | 39 |    | D  | 5  |
| 801  | 2013/10/3  | 1534374 | 2  | 18 | 19 | 20 | 25 | 31 |    | A  | 32 |
| 1456 | 2020/2/13  | 1535238 | 2  | 18 | 19 | 24 | 29 | 31 |    | J  | 33 |
| 1617 | 2021/9/2   | 1549140 | 2  | 19 | 21 | 24 | 26 | 41 |    | B  | 23 |
| 1183 | 2017/6/15  | 1550699 | 2  | 19 | 22 | 25 | 32 | 36 |    | H  | 39 |
| 1214 | 2017/10/2  | 1552379 | 2  | 19 | 23 | 30 | 33 | 36 |    | F  | 40 |
| 1412 | 2019/9/5   | 1552814 | 2  | 19 | 24 | 25 | 32 | 42 |    | H  | 8  |
| 1330 | 2018/11/15 | 1553500 | 2  | 19 | 24 | 32 | 36 | 43 |    | G  | 30 |
| 1239 | 2017/12/28 | 1555204 | 2  | 19 | 27 | 28 | 30 | 38 |    | F  | 22 |
| 34   | 2001/5/24  | 1563053 | 2  | 20 | 25 | 30 | 37 | 40 |    | D  | 10 |
| 1434 | 2019/11/21 | 1565683 | 2  | 20 | 30 | 38 | 39 | 40 |    | A  | 4  |
| 964  | 2015/5/4   | 1568445 | 2  | 21 | 23 | 29 | 30 | 43 |    | B  | 26 |
| 442  | 2009/4/23  | 1582124 | 2  | 23 | 26 | 35 | 41 | 42 |    | F  | 38 |
| 1020 | 2015/11/16 | 1589194 | 2  | 25 | 27 | 28 | 35 | 42 |    | E  | 6  |
| 1431 | 2019/11/11 | 1594200 | 2  | 27 | 28 | 33 | 38 | 40 |    | E  | 30 |
| 927  | 2014/12/22 | 1597075 | 2  | 29 | 30 | 31 | 33 | 34 |    | A  | 37 |
| 398  | 2008/6/12  | 1599213 | 2  | 31 | 36 | 37 | 39 | 43 |    | J  | 13 |
| 310  | 2006/9/28  | 1606091 | 3  | 4  | 5  | 18 | 28 | 37 |    | F  | 26 |
| 541  | 2011/3/24  | 1608011 | 3  | 4  | 5  | 28 | 34 | 43 |    | H  | 20 |
| 760  | 2013/5/13  | 1612938 | 3  | 4  | 6  | 15 | 32 | 40 |    | I  | 34 |
| 887  | 2014/8/4   | 1613911 | 3  | 4  | 6  | 18 | 32 | 37 |    | A  | 7  |
| 1405 | 2019/8/12  | 1614039 | 3  | 4  | 6  | 19 | 23 | 24 |    | A  | 42 |
| 1136 | 2016/12/29 | 1616647 | 3  | 4  | 7  | 8  | 22 | 33 |    | J  | 18 |
| 597  | 2011/10/10 | 1618981 | 3  | 4  | 7  | 13 | 16 | 23 |    | C  | 1  |
| 831  | 2014/1/20  | 1619130 | 3  | 4  | 7  | 13 | 22 | 31 |    | H  | 19 |
| 743  | 2013/3/14  | 1624089 | 3  | 4  | 8  | 10 | 14 | 37 |    | F  | 32 |
| 1162 | 2017/4/3   | 1625285 | 3  | 4  | 8  | 12 | 24 | 37 |    | B  | 10 |
| 26   | 2001/3/29  | 1641427 | 3  | 4  | 11 | 12 | 13 | 43 |    | G  | 22 |
| 119  | 2003/1/23  | 1641471 | 3  | 4  | 11 | 12 | 15 | 30 |    | H  | 17 |
| 288  | 2006/4/27  | 1645426 | 3  | 4  | 11 | 25 | 28 | 33 |    | I  | 35 |
| 509  | 2010/8/12  | 1648417 | 3  | 4  | 12 | 18 | 27 | 28 |    | B  | 40 |
| 1361 | 2019/3/11  | 1648442 | 3  | 4  | 12 | 18 | 28 | 38 |    | G  | 32 |
| 632  | 2012/2/13  | 1656798 | 3  | 4  | 14 | 21 | 22 | 25 |    | E  | 26 |
| 840  | 2014/2/20  | 1666269 | 3  | 4  | 17 | 24 | 27 | 34 |    | J  | 39 |
| 1278 | 2018/5/17  | 1669169 | 3  | 4  | 18 | 28 | 34 | 36 |    | B  | 6  |
| 193  | 2004/7/1   | 1669444 | 3  | 4  | 18 | 31 | 40 | 43 |    | D  | 22 |
| 316  | 2006/11/9  | 1673171 | 3  | 4  | 20 | 30 | 40 | 41 |    | G  | 31 |
| 682  | 2012/8/6   | 1694649 | 3  | 5  | 7  | 18 | 19 | 41 |    | B  | 34 |
| 997  | 2015/8/27  | 1698767 | 3  | 5  | 8  | 11 | 33 | 43 |    | J  | 23 |
| 267  | 2005/12/1  | 1702409 | 3  | 5  | 8  | 22 | 35 | 38 |    | I  | 41 |
| 37   | 2001/6/14  | 1706923 | 3  | 5  | 9  | 17 | 21 | 41 |    | G  | 26 |
| 339  | 2007/4/19  | 1709033 | 3  | 5  | 9  | 26 | 34 | 36 |    | J  | 12 |
| 1372 | 2019/4/18  | 1713623 | 3  | 5  | 10 | 21 | 33 | 39 |    | H  | 8  |
| 1191 | 2017/7/13  | 1718237 | 3  | 5  | 11 | 20 | 25 | 32 |    | I  | 30 |
| 1433 | 2019/11/18 | 1721731 | 3  | 5  | 12 | 16 | 38 | 42 |    | H  | 6  |
| 752  | 2013/4/15  | 1726211 | 3  | 5  | 13 | 18 | 22 | 37 |    | B  | 14 |
| 35   | 2001/5/31  | 1728384 | 3  | 5  | 13 | 30 | 32 | 41 |    | E  | 28 |
| 1148 | 2017/2/13  | 1737376 | 3  | 5  | 16 | 23 | 31 | 43 |    | I  | 39 |
| 1619 | 2021/9/9   | 1739235 | 3  | 5  | 17 | 20 | 24 | 38 |    | E  | 13 |
| 1624 | 2021/9/27  | 1740317 | 3  | 5  | 17 | 25 | 33 | 39 |    | J  | 19 |
| 359  | 2007/9/6   | 1743529 | 3  | 5  | 19 | 20 | 23 | 27 |    | F  | 40 |
| 573  | 2011/7/18  | 1748511 | 3  | 5  | 21 | 30 | 37 | 38 |    | B  | 11 |
| 363  | 2007/10/4  | 1761810 | 3  | 6  | 7  | 22 | 27 | 31 |    | I  | 4  |
| 32   | 2001/5/10  | 1762039 | 3  | 6  | 7  | 23 | 29 | 41 |    | H  | 33 |
| 268  | 2005/12/8  | 1765985 | 3  | 6  | 8  | 14 | 24 | 36 |    | D  | 15 |
| 565  | 2011/6/20  | 1768161 | 3  | 6  | 8  | 21 | 28 | 32 |    | G  | 10 |
| 1102 | 2016/9/1   | 1771714 | 3  | 6  | 9  | 13 | 36 | 37 |    | C  | 32 |
| 1215 | 2017/10/5  | 1772293 | 3  | 6  | 9  | 15 | 21 | 42 |    | B  | 7  |
| 1460 | 2020/2/27  | 1777877 | 3  | 6  | 10 | 15 | 29 | 30 |    | I  | 4  |
| 179  | 2004/3/25  | 1781752 | 3  | 6  | 11 | 13 | 15 | 16 |    | A  | 23 |
| 336  | 2007/3/29  | 1791905 | 3  | 6  | 13 | 17 | 20 | 29 |    | C  | 11 |
| 1384 | 2019/5/30  | 1794597 | 3  | 6  | 13 | 32 | 38 | 43 |    | H  | 40 |
| 1095 | 2016/8/8   | 1799196 | 3  | 6  | 15 | 18 | 23 | 27 |    | J  | 38 |
| 1119 | 2016/10/31 | 1800162 | 3  | 6  | 15 | 21 | 42 | 43 |    | J  | 11 |
| 1049 | 2016/2/29  | 1800379 | 3  | 6  | 15 | 23 | 24 | 31 |    | E  | 11 |
| 522  | 2010/11/11 | 1803334 | 3  | 6  | 16 | 23 | 25 | 43 |    | A  | 37 |
| 245  | 2005/6/30  | 1808446 | 3  | 6  | 18 | 24 | 28 | 36 |    | C  | 21 |
| 1156 | 2017/3/13  | 1811300 | 3  | 6  | 19 | 31 | 35 | 40 |    | H  | 12 |
| 1337 | 2018/12/10 | 1814307 | 3  | 6  | 21 | 28 | 29 | 34 |    | J  | 15 |
| 304  | 2006/8/17  | 1825109 | 3  | 7  | 8  | 15 | 17 | 31 |    | G  | 27 |
| 843  | 2014/3/3   | 1828042 | 3  | 7  | 8  | 26 | 42 | 43 |    | B  | 11 |
| 1281 | 2018/5/28  | 1831336 | 3  | 7  | 9  | 15 | 29 | 40 |    | H  | 17 |
| 1633 | 2021/10/28 | 1833991 | 3  | 7  | 9  | 26 | 35 | 36 |    | C  | 28 |
| 1086 | 2016/7/7   | 1834476 | 3  | 7  | 9  | 31 | 38 | 43 |    | A  | 29 |
| 328  | 2007/2/1   | 1835384 | 3  | 7  | 10 | 12 | 19 | 36 |    | G  | 35 |
| 1396 | 2019/7/11  | 1841654 | 3  | 7  | 11 | 15 | 23 | 41 |    | F  | 21 |
| 630  | 2012/2/6   | 1851099 | 3  | 7  | 13 | 18 | 19 | 41 |    | G  | 38 |
| 456  | 2009/7/30  | 1859709 | 3  | 7  | 15 | 25 | 30 | 39 |    | B  | 22 |
| 934  | 2015/1/19  | 1860668 | 3  | 7  | 16 | 17 | 20 | 32 |    | J  | 12 |
| 86   | 2002/5/30  | 1862465 | 3  | 7  | 16 | 24 | 29 | 36 |    | A  | 26 |
